hand,height,player,age,ace,df,bpSaved
R,185.0,101106 - Peter Lundgren,26 ~ 30,5.017857142857143,4.696428571428571,0.5596428571428571
R,185.0,101108 - Richard Schmidt,26 ~ 30,2.4,3.4,0.592
R,175.0,101109 - Tarik Benhabiles,26 ~ 30,4.3125,2.9375,0.491875
R,175.0,101110 - David De Miguel,26 ~ 30,0.0,0.0,0.5
R,180.0,101117 - Eric Jelen,26 ~ 30,1.4411764705882353,2.8823529411764706,0.5461764705882353
R,173.0,101119 - Marian Vajda,26 ~ 30,2.339622641509434,4.037735849056604,0.4975471698113207
R,190.0,101120 - Karel Novacek,26 ~ 30,6.014285714285714,2.25,0.5810000000000001
R,190.0,101120 - Karel Novacek,31 ~ 35,4.75,1.75,0.575
R,188.0,101123 - Alexander Mronz,26 ~ 30,6.085714285714285,3.219047619047619,0.573047619047619
R,188.0,101123 - Alexander Mronz,31 ~ 35,1.0,1.0,0.4
R,180.0,101124 - Paolo Cane,26 ~ 30,5.232142857142857,2.2142857142857144,0.5707142857142856
R,183.0,101126 - Chris Pridham,26 ~ 30,3.4,3.183333333333333,0.5768333333333333
R,180.0,101131 - Jimmy Brown,26 ~ 30,1.0625,1.3125,0.41437500000000005
R,188.0,101133 - Patrick Baur,26 ~ 30,4.2254901960784315,3.1470588235294117,0.5874509803921569
R,188.0,101133 - Patrick Baur,31 ~ 35,4.1,3.8,0.504
R,183.0,101138 - Pat Cash,26 ~ 30,5.931818181818182,3.590909090909091,0.5806818181818182
R,183.0,101138 - Pat Cash,31 ~ 35,6.416666666666667,5.75,0.4383333333333333
R,180.0,101142 - Emilio Sanchez,26 ~ 30,3.6848739495798317,1.2941176470588236,0.5578991596638657
R,180.0,101142 - Emilio Sanchez,31 ~ 35,2.0,1.24,0.5264
R,175.0,101143 - Branislav Stankovic,26 ~ 30,3.5,4.166666666666667,0.5716666666666667
R,185.0,101145 - Jonathan Canter,26 ~ 30,2.2857142857142856,1.5714285714285714,0.49142857142857144
R,180.0,101147 - Claudio Mezzadri,26 ~ 30,2.864864864864865,3.108108108108108,0.5383783783783784
R,190.0,101149 - Morten Christensen,26 ~ 30,9.0,7.75,0.5775
R,190.0,101149 - Morten Christensen,31 ~ 35,11.0,7.0,0.57
L,180.0,101150 - Gianluca Pozzi,26 ~ 30,2.7784431137724552,2.9221556886227544,0.5457485029940121
L,180.0,101150 - Gianluca Pozzi,31 ~ 35,5.219512195121951,2.5,0.5346951219512195
L,180.0,101150 - Gianluca Pozzi,36 ~ 40,4.793103448275862,3.206896551724138,0.5493103448275862
R,185.0,101154 - Simon Youl,26 ~ 30,4.173913043478261,3.3333333333333335,0.5579710144927537
R,190.0,101174 - Fernando Roese,21 ~ 25,3.0,1.0,0.46799999999999997
R,190.0,101174 - Fernando Roese,26 ~ 30,2.657142857142857,3.3142857142857145,0.5425714285714285
R,185.0,101179 - Jean Philippe Fleurian,21 ~ 25,3.5714285714285716,2.642857142857143,0.5257142857142857
R,185.0,101179 - Jean Philippe Fleurian,26 ~ 30,3.087378640776699,2.621359223300971,0.5590291262135922
R,185.0,101179 - Jean Philippe Fleurian,31 ~ 35,2.473684210526316,2.736842105263158,0.5389473684210526
